ID; Name; Description; Icon
311; Das Scharlachrote Kloster; Bezwingt den Scharlachroten Kreuzzug im Scharlachroten Kloster.; -inv_helmet_52
312; Die Hügel von Razorfen; Bezwingt Amnennar den Kältebringer.; achievement_boss_amnennar_the_coldbringer
313; Uldaman; Bezwingt Archaedas.; achievement_boss_archaedas
314; Zul'Farrak; Bezwingt Häuptling Ukorz Sandskalp.; achievement_boss_chiefukorzsandscalp
315; Maraudon; Bezwingt Prinzessin Theradras; achievement_boss_princesstheradras
316; Versunkener Tempel; Bezwingt Eranikus' Schemen.; achievement_boss_shadeoferanikus
317; Schwarzfelstiefen; Bezwingt Imperator Dagran Thaurissan.; achievement_boss_emperordagranthaurissan
318; Die Tiefen säubern; Tötet die folgenden Bosse in den Schwarzfelstiefen.; -Spell_Fire_Lavaspawn
319; Party in den Tiefen; Bezwingt die folgenden Gegner im Grimmigen Säufer; -inv_drink_05
320; Angriff ist die bessere Verteidigung; Plündert den Stein der Erde von Panzor den Unbesiegbaren in den Schwarzfelstiefen.; -Inv_Sword_47
321; Meister der Schwarzfelstiefen; Schließt die unten aufgelisteten Erfolge in den Schwarzfelstiefen ab.; -Inv_Misc_AhnQirajTrinket_03
322; Untere Schwarzfelsspitze; Bezwingt Oberanführer Wyrmthalak.; achievement_boss_overlord_wyrmthalak
323; Obere Schwarzfelsspitze; Bezwingt General Drakkisath.; achievement_boss_generaldrakkisath
324; Eindringling der Schwarzfelsspitze; Schließt die unten aufgelisteten Erfolge in der Schwarzfelsspitze ab.; -Inv_Sword_48
325; König des Düsterbruchs; Schließt erfolgreich alle Düsterbruch-Dungeons ab.; -Ability_Warrior_DecisiveStrike
326; Stratholme; Bezwingt die bösen Drahtzieher der Invasion von Stratholme.; spell_deathknight_armyofthedead
327; Scholomance; Bezwingt die Anführer von Scholomance.; -Spell_Holy_Senseundead
328; Klassischer Dungeonmeister; Schließt die unten aufgelisteten Dungeon-Erfolge ab.; -spell_holy_revivechampion
329; Verteidiger von Azeroth; Schließt die unten aufgelisteten Dungeon-Erfolge ab.; achievement_dungeon_classicraider
330; Onyxias Hort; Bezwingt Onyxia.; achievement_boss_onyxia
331; Ruinen von Ahn'Qiraj; Bezwingt Ossirian den Narbenlosen.; achievement_boss_ossiriantheunscarred
332; Zul'Gurub; Bezwingt Hakkar.; achievement_boss_hakkar
333; Geschmolzener Kern; Bezwingt Ragnaros.; achievement_boss_ragnaros
334; Pechschwingenhort; Bezwingt Nefarian.; achievement_boss_nefarion
335; Tempel von Ahn'Qiraj; Bezwingt C'Thun.; achievement_boss_cthun
336; Das Arachnidenviertel; Bezwingt die Bosse im Arachnidenviertel von Naxxramas; -Inv_Trinket_Naxxramas04
337; Das Seuchenviertel; Bezwingt die Bosse im Seuchenviertel von Naxxramas.; -inv_misc_cauldron_nature
338; Das Militärviertel; Bezwingt die Bosse im Militärviertel von Naxxramas.; spell_deathknight_classicon
339; Das Konstruktviertel; Bezwingt die Bosse im Konstruktviertel von Naxxramas.; ability_rogue_deviouspoisons
340; Kel'Thuzads Niederlage; Bezwingt Kel'Thuzad in Naxxramas.; -inv_trinket_naxxramas06
341; Der Fall Naxxramas'; Schließt die unten aufgelisteten Erfolge in Naxxramas ab.; achievement_dungeon_naxxramas_normal
342; Aufstrebender Held von Azeroth; Schließt die unten aufgelisteten Schlachtzugserfolge ab.; achievement_dungeon_gloryofthehero
343; Herr des Schwarzfels; Schließt die unten aufgelisteten Erfolge im Schwarzfels ab.; achievement_dungeon_classicdungeonmaster
344; Held von Azeroth; Schließt die unten aufgelisteten Schlachtzugserfolge ab.; achievement_dungeon_heroic_gloryoftheraider
345; Großartiger Held von Azeroth; Schließt die unten aufgelisteten Dungeon- und Schlachtzugserfolge ab.; achievement_dungeon_gloryoftheraider
346; Das Geheimnis des blauen Drachens; Bezwingt Azuregos.; achievement_boss_cyanigosa
347; Dämonen können nicht vorbei; Bezwingt Lord Kazzak.; ability_warlock_demonicempowerment
348; Kein Platz für Mädchen in einem Albtraum; Bezwingt Ysondre.; achievement_boss_valithradreamwalker
349; Kind des Smaragdgrünen Albtraums; Bezwingt Lethon.; achievement_boss_aeonus_01
350; Emeriss, Verräter des Lebens; Bezwingt Emeriss.; achievement_boss_malygos_01
351; Albtraumhafte Taerar; Bezwingt Taerar.; achievement_boss_eregos
352; Smaragdgrüner Wächter; Bezwingt alle Drachen des Smaragdgrünen Albtraums.; inv_misc_shadowegg
353; Leeeeeeeeeeeeeeeroy!; Tötet 50 Krähenhorstwelpen innerhalb von 15 Sekunden.; ability_mount_drake_red
354; Doppelter Atem; Bezwingt Schattenschwinge und Flammenmaul innerhalb von 45 Sekunden.; ability_mount_drake_twilight
355; Der böse Spinnenlord; Bezwingt Anub'Rekhan in Naxxramas, während beide Gruftwachen am Leben sind.; achievement_boss_anubarak
356; Witwenjäger; Bezwingt Großwitwe Faerlina in Naxxramas, während alle Anhänger und Jünger von Naxxramas am Leben sind.; -spell_shadow_curseofmannoroth
357; Arachnophobie; Bezwingt Maexxna in Naxxramas innerhalb von 20 Minuten nach Anub'Rekhans Tod.; achievement_halloween_spider_01
358; Zusammen bis in den Tod; Bezwingt die Vier Reiter in Naxxramas, wobei sie im Abstand von höchstens 15 Sekunden hintereinander sterben müssen.; spell_deathknight_summondeathcharger
359; Ziemlich frostig hier; Bezwingt Saphiron in Naxxramas, ohne dass jemand aus dem Schlachtzug stirbt.; -spell_frost_icestorm
414; Lehrlingsprüfung; Erlangt 75 Fertigkeitspunkte in einem Beruf.; -Inv_Misc_Note_01
415; Gesellenprüfung; Erlangt 150 Fertigkeitspunkte in einem Beruf.; -Inv_Misc_Note_01
416; Professioneller Experte; Erlangt 225 Fertigkeitspunkte in einem Beruf.; -Inv_Misc_Note_01
417; Professioneller Fachmann; Erlangt 300 Fertigkeitspunkte in einem Beruf.; -Inv_Misc_Note_01
419; Handwerker; Werdet gleichzeitig in zwei Berufen Fachmann.; -ability_repair
421; Lehrling in Erster Hilfe; Erlangt 75 Fertigkeitspunkte in Erster Hilfe.; -spell_holy_sealofsacrifice
422; Geselle in Erster Hilfe; Erlangt 150 Fertigkeitspunkte in Erster Hilfe.; -spell_holy_sealofsacrifice
423; Experte in Erster Hilfe; Erlangt 225 Fertigkeitspunkte in Erster Hilfe.; -spell_holy_sealofsacrifice
424; Fachmann in Erster Hilfe; Erlangt 300 Fertigkeitspunkte in Erster Hilfe.; -spell_holy_sealofsacrifice
425; Anglerlehrling; Erlangt 75 Fertigkeitspunkte im Angeln.; -trade_fishing
426; Anglergeselle; Erlangt 150 Fertigkeitspunkte im Angeln.; -trade_fishing
427; Expertenangler; Erlangt 225 Fertigkeitspunkte im Angeln.; -trade_fishing
428; Anglerfachmann; Erlangt 300 Fertigkeitspunkte im Angeln.; -trade_fishing
429; Kochlehrling; Erlangt 75 Fertigkeitspunkte im Kochen.; -inv_misc_food_15
430; Kochgeselle; Erlangt 150 Fertigkeitspunkte im Kochen.; -inv_misc_food_15
431; Expertenkoch; Erlangt 225 Fertigkeitspunkte im Kochen.; -inv_misc_food_15
432; Der Kochfachmann; Erlangt 300 Fertigkeitspunkte im Kochen.; -inv_misc_food_15
433; Außergewöhnliche Fähigkeiten; Werdet gleichzeitig Fachmann des Angelns, der Ersten Hilfe und der Kochkunst.; -Inv_Misc_Note_02
438; Genie; Erlangt die unten aufgelisteten Berufserfolge.; -Spell_Magic_GreaterBlessingOfKings
440; Vorrat aufstocken; Stellt 100 schwere Runenstoffverbände her.; -Inv_Misc_Bandage_12
441; Vorrat aufstocken; Stellt 500 schwere Runenstoffverbände her.; -Inv_Misc_Bandage_12
444; Für's Angeln nur das Beste!; Gewinnt den Angelwettbewerb in der Beutebucht und wählt die Arkanitangel oder den Angelhaken des Anglermeisters als Belohnung.; -inv_misc_fish_21
445; Echter Fischliebhaber; Angelt einen der besonderen Fische während des Angelwettbewerbs in der Beutebucht.; -inv_misc_fish_10
446; Fischsammlung; Fangt die unten aufgelisteten Fische in Azeroth.; -inv_misc_fish_08
447; Wasser aus Wasser; Angelt eine Essenz des Wassers.; -Spell_Nature_Acid_01
448; Aufhören unmöglich; Angelt die folgenden Rumsorten.; -Inv_Drink_04
449; Geschenk von Mordor; Angelt den Einen Ring.; -Inv_Jewelry_Ring_03
450; Bote eines traurigen Endes; Angelt Old Teamsters Schädel.; -Inv_Misc_Bone_DwarfSkull_01
451; Großer Schnapperfanger; Angelt Matschschnapper der folgenden Größen.; -inv_misc_fish_32
452; Barschfänger; Angelt Barsche der folgenden Größen.; -inv_misc_fish_06
453; Lachsliebhaber; Angelt Lachse der folgenden Größen.; -inv_misc_fish_02
454; Hummerjäger; Angelt Hummer der folgenden Größen.; -Inv_Misc_Fish_14
455; Der größte Angler von Azeroth; Schließt die unten aufgelisteten Angel-Erfolge ab.; -Inv_FishingPole_01
457; Freizeitkoch; Lernt 5 Kochrezepte.; -inv_misc_food_66
458; Commis de Cuisine; Lernt 10 Kochrezepte.; -inv_misc_food_65
459; Chef de Partie; Lernt 25 Kochrezepte.; -inv_misc_food_60
460; Sous Chef; Lernt 50 Kochrezepte.; -inv_misc_food_13
461; Chef de Cuisine; Lernt 75 Kochrezepte.; -inv_misc_food_92_lobster
462; Suppenkocher; Kocht Nachtflossensuppe 100-mal.; -Inv_Drink_17
463; Knollenmeister; Kocht Runn Tum Knolle Surprise 100-mal.; -Inv_Misc_Food_63
464; Fang des Tages; Kocht Gegrillter Kalmar 100-mal.; -Inv_Misc_Fish_13
465; Omas Knödel; Kocht Geräucherte Wüstenknödel 100-mal.; -Inv_Misc_Food_64
466; Große Festtafel; Schließt die unten aufgelisteten Kocherfolge ab.; -Inv_Misc_Food_49
468; Jemand mag mich!; Erreicht einen ehrfürchtigen Ruf.; achievement_reputation_01
469; 5 ehrfürchtige Fraktionen; Erreicht bei 5 Fraktionen einen ehrfürchtigen Ruf.; achievement_reputation_02
470; 10 ehrfürchtige Fraktionen; Erreicht bei 10 Fraktionen einen ehrfürchtigen Ruf.; achievement_reputation_03
471; 15 ehrfürchtige Fraktionen; Erreicht bei 15 Fraktionen einen ehrfürchtigen Ruf.; achievement_reputation_04
472; 20 ehrfürchtige Fraktionen; Erreicht bei 20 Fraktionen einen ehrfürchtigen Ruf.; achievement_reputation_05
473; 25 ehrfürchtige Fraktionen; Erreicht bei 25 Fraktionen einen ehrfürchtigen Ruf.; achievement_reputation_06
474; 30 ehrfürchtige Fraktionen; Erreicht bei 30 Fraktionen einen ehrfürchtigen Ruf.; achievement_reputation_07
475; Botschafter der Horde; Erreicht einen ehrfürchtigen Ruf in 5 Heimatstädten.; achievement_pvp_o_h
476; Botschafter der Allianz; Erreicht einen ehrfürchtigen Ruf in 5 Heimatstädten.; achievement_pvp_o_a
477; Die Hydraxianer; Erreicht bei den Hydraxianern den Status ehrfürchtig.; -spell_frost_summonwaterelemental_2
478; Stamm der Zandalar; Erreicht beim Stamm der Zandalar den Status ehrfürchtig.; -inv_bijou_green
479; Brut von Nozdormu; Erreicht bei der Brut Nozdormus den Status ehrfürchtig.; -Inv_Misc_Head_Dragon_Bronze
480; Argentumdämmerung; Erreicht bei der Argentumdämmerung den Status ehrfürchtig.; -inv_jewelry_talisman_07
481; Die stehen auf mich in diesem Tunnel; Erreicht bei der Holzschlundfeste den Status ehrfürchtig.; achievement_reputation_timbermaw
482; Dunkelmond-Jahrmarkt; Erreicht beim Dunkelmond-Jahrmarkt den Status ehrfürchtig.; -Inv_Misc_MissileLarge_Red
483; Thoriumbruderschaft; Erreicht bei der Thoriumbruderschaft den Status ehrfürchtig.; -inv_enchant_dustsoul
484; Agent der Shen'dralar; Erreicht bei den Shen'dralar den Status ehrfürchtig.; -inv_misc_book_11
500; Sulfuras, Hand von Ragnaros; Träger von Sulfuras, Hand von Ragnaros.; -Inv_Hammer_Unique_Sulfuras
501; Donnerzorn, Gesegnete Klinge des Windsuchers; Träger von Donnerzorn, Gesegnete Klinge des Windsuchers.; -Inv_Sword_39
502; Skarabäusfürst; Die Tore von Ahn'Qiraj geöffnet.; silithus
503; Warum? Weil er rot ist!; Erhaltet einen roten Qirajiresonanzkristall.; -Inv_Misc_QirajiCrystal_02
504; Atiesh, Hohestab des Wächters; Träger von Atiesh, Hohestab des Wächters.; -Inv_Staff_Medivh
505; Schneller zulianischer Tiger; Erhaltet den schnellen zulianischen Tiger vom Hohepriester Thekal in Zul'Gurub.; -ability_mount_jungletiger
506; Schneller Razzashiraptor; Erhaltet den schnellen Razzashiraptor von Blutfürst Mandokir in Zul'Gurub.; -ability_mount_raptor
507; Die Zügel des Todesstreitrosses; Erhaltet die Zügel des Todesstreitrosses von Totenschwur in Stratholme.; -ability_mount_undeadhorse
508; Frostsäbler aus Winterquell; Erhaltet einen Frostsäbler aus Winterquell.; -ability_mount_pinktiger
516; 25 Fische; Angelt 25 Gegenstände oder Fische.; inv_misc_fish_50
517; 50 Fische; Angelt 50 Gegenstände oder Fische.; inv_misc_fish_50
518; 100 Fische; Angelt 100 Gegenstände oder Fische.; inv_misc_fish_50
519; 250 Fische; Angelt 250 Gegenstände oder Fische.; inv_misc_fish_50
520; 500 Fische; Angelt 500 Gegenstände oder Fische.; inv_misc_fish_50
521; 1.000 Fische; Angelt 1.000 Gegenstände oder Fische.; inv_misc_fish_50
523; Segel setzen, Admiral!; Erhaltet den Blutsegeladmiralshut... und versucht, zwischendurch etwas frische Luft zu tanken.; -inv_helmet_66
524; Schreckensross von Xoroth; Die Hexenmeisterquest zur Beschwörung eines Schreckensrosses von Xoroth abgeschlossen.; -ability_mount_dreadsteed
525; Streitross; Die Paladinquest zur Erlangung eines Streitrosses abgeschlossen.; -ability_mount_charger
531; Geschlottert werde dein Name; Schließt die unten aufgelisteten Schlotternächte-Erfolge ab.; achievement_halloween_witch_01
532; Fauliges Schlottern; Ruiniert die Schlotternächte für die Horde. Schließt dafür die Quests für Unteroffizier Hartman ab, die das Bespitzeln des Fests des Weidenmanns und das Aufräumen Süderstades von den Stinkbomben vorsehen.; achievement_halloween_rottenegg_01
533; Schlotternachtssüßigkeiten für Jesper!; Sammelt die gewünschten Süßigkeiten für Jesper.; -inv_misc_food_26
534; Süßes oder Saures!; Erhaltet einen Schlotterbeutel von einem Gastwirt.; -inv_misc_food_30
535; Ziemlich gruselig; Erhaltet eine Kürbistasche während der Schlotternächte.; -inv_misc_food_59
536; Anrufung des Weidenmanns; Erhaltet während der Schlotternächte den Stärkungszauber "Anrufung des Weidenmanns".; -inv_waepon_bow_zulgrub_d_02
537; Maskiert; Erhaltet während der Schlotternächte eine leichte Maske.; -inv_mask_06
538; Eine Maske für jede Gelegenheit; Sammelt die 16 unten aufgelisteten einzigartigen leichten Masken.; -inv_mask_04
539; Die Maskerade; Lasst Euch von den unten aufgelisteten Stäben der Verwandlung transformieren.; achievement_halloween_ghost_01
540; Saphirons Ableben; Bezwingt Saphiron in Naxxramas.; -inv_misc_head_dragon_blue
541; Winterhauchengel; Schließt die unten aufgelisteten Winterhaucherfolge ab.; achievement_worldevent_merrymaker
542; Auf Metzen!; Rettet Metzen das Rentier.; achievement_worldevent_reindeer
543; Einfach grässlich; Schließt die Quest zur Wiederbeschaffung von Kokelwälders gestohlenen Leckereien ab und erhaltet ein Dankeschön von Kokelwälder.; -inv_helmet_68
544; Der Winterhauch-Gourmet; Nutzt während des Winterhauchfests Eure kulinarische Expertise, um einen Lebkuchen und einen Eierflip herzustellen.; -inv_misc_food_62
545; Waren wir brav dieses Jahr?; Öffnet eines der Geschenke unter dem Winterhauchbaum, sobald sie verfügbar sind.; -inv_holiday_christmas_present_01
546; Mitten ins Gesicht; Werft während des Winterhauchfests einen Schneeball auf König Magni Bronzebart.; -inv_ammo_snowball
552; Der angelnde Diplomat; Bekommt etwas in Orgrimmar und Sturmwind an den Haken.; -inv_helmet_44
561; Wappenrock der Argentumdämmerung; Einen Wappenrock der Argentumdämmerung durch das Ereignis 'Invasion der Geißel' erhalten.; -inv_shirt_guildtabard_01
562; Auf Nummer sicher; Bezwingt Heigan den Unreinen in Naxxramas, ohne dass jemand aus dem Schlachtzug stirbt.; -ability_rogue_quickrecovery
563; Legt Flickwerk schnell das Handwerk; Bezwingt Flickwerk in Naxxramas in höchstens 3 Minuten.; -spell_shadow_abominationexplosion
565; Ich krieg' einfach nicht genug; Bezwingt Kel'Thuzad in Naxxramas, nachdem ihr mindestens 18 Monstrositäten in seiner Kammer besiegt habt.; spell_deathknight_plaguestrike
566; Kleiner Helfer in der Not; Erringt 50 ehrenhafte Siege als kleiner Helfer der Winterwundervolt-Maschine.; achievement_worldevent_littlehelper
576; Zirkel des Cenarius; Erreicht beim Zirkel des Cenarius den Status ehrfürchtig.; ability_druid_manatree
577; Der Plünderer erhält die Beute; Plündert das Autogramm von Tigule im Alteractal.; -inv_scroll_10
578; War doch kinderleicht *hust*; Gewinnt im Arathibecken mit einem Vorsprung von 10 Punkten (2.000 zu 1.990).; -spell_shadow_improvedvampiricembrace
579; Arathibecken-Perfektion; Gewinnt im Arathibecken mit einer Punktzahl von 2.000 zu 0.; achievement_bg_abshutout
605; Liebestoll; Schließt die unten aufgelisteten Erfolge von 'Liebe liegt in der Luft' ab.; achievement_worldevent_valentine
606; Sag's mit Rosen; Erhaltet während der 'Liebe liegt in der Luft'-Feierlichkeiten einen roten Rosenstrauß.; -inv_rosebouquet01
607; Gefährliche Liebschaft; Helft dem Dampfdruckkartell dabei, den Plan der Chemiemanufaktur Krone zu vereiteln.; -spell_brokenheart
608; Naschkatze; Probiert die unten aufgelisteten 'Liebe liegt in der Luft'-Süßigkeiten.; -inv_valentineschocolate02
609; Das reizende Glück ist auf Eurer Seite; Öffnet einen reizenden Kleiderkarton und erhaltet ein reizendes schwarzes Kleid.; -inv_chest_cloth_50
610; Perma-Pido; Erhaltet ein permanentes Q. Pido-Haustier, indem Ihr einen Echtsilberschaftpfeil erbeutet.; -inv_ammo_arrow_02
611; Respekt vor den Urahnen; Schließt die unten aufgelisteten Mondfesterfolge ab.; achievement_worldevent_lunar
612; Eine Münze der Urahnen; Findet eine Münze der Urahnen.; -inv_misc_elvencoins
613; 5 Münzen der Urahnen; Erhaltet 5 Münzen der Urahnen.; -inv_misc_elvencoins
614; 10 Münzen der Urahnen; Erhaltet 10 Münzen der Urahnen.; -inv_misc_elvencoins
615; 25 Münzen der Urahnen; Erhaltet 25 Münzen der Urahnen.; -inv_misc_elvencoins
616; 50 Münzen der Urahnen; Erhaltet 50 Münzen der Urahnen.; -inv_misc_elvencoins
617; Elunes Segen; Schließt die Quest 'Elunes Segen' ab, indem Ihr Omen bezwingt.; spell_holy_aspiration
618; Mondfestgarderobe; Kauft mit Münzen der Urahnen einen festlichen Hosenanzug oder ein festliches Kleid.; -inv_chest_cloth_59
619; Die Urahnen der Dungeons; Ehrt die Urahnen, die sich in den Dungeons befinden.; -spell_holy_symbolofhope
620; Die Urahnen der Allianz; Ehrt die Urahnen, die sich in den Hauptstädten der Allianz befinden.; -spell_holy_symbolofhope
621; Die Urahnen der östlichen Königreiche; Ehrt die Urahnen, die sich in den östlichen Königreichen befinden.; -spell_holy_symbolofhope
622; Die Urahnen von Kalimdor; Ehrt die Urahnen, die sich in Kalimdor befinden.; -spell_holy_symbolofhope
625; Smoking und Häschen; Findet das weiße Smokinghemd und die schwarze Smokinghose, indem Ihr die bunt gefärbten Eier während des Nobelgartenfests öffnet.; -inv_shirt_08
626; Dem Anlass entsprechend gekleidet; Entdeckt ein elegantes Kleid, indem Ihr die bunt gefärbten Eier während des Nobelgartenfests öffnet.; -inv_chest_cloth_04
628; Ein Herz für Kinder; Schließt die unten aufgelisteten Erfolge der 'Kinderwoche' ab.; -inv_misc_toy_04
629; Och, ist das nicht süß?; Erhaltet eines der Belohnungshaustiere der Kinderwoche.; -ability_hunter_pet_turtle
633; Der Flammenbewahrer; Schließt die unten aufgelisteten Sonnenwenderfolge ab.; -inv_summerfest_symbol_high
634; König des Feuerfestivals; Schließt die Quest 'Der Lohn des Diebes' ab, indem Ihr die Flammen aus den Hauptstädten Eures Gegners stehlt.; -inv_helmet_08
650; Was für eine lange, seltsame Reise...; Schließt die unten aufgelisteten Weltereignis-Erfolge ab.; achievement_bg_masterofallbgs
651; Einzigartig; Tötet einen seltenen Elite-Gegner in Kalimdor oder den Östlichen Königreichen.; -INV_Misc_MonsterClaw_02
652; Extrem selten; Tötet alle seltenen Elite-Gegner in Kalimdor und den Östlichen Königreichen, die unten aufgelistet sind.; -Spell_Shadow_DeathScream
