ID; Name; Description; Icon
227 ; Verteidiger der Toten ; Verteidigt 2 Friedhöfe während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Spell_Holy_Prayerofspirit
228 ; Verteidiger der Toten ; Verteidigt 3 Friedhöfe während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Spell_Holy_Prayerofspirit
229 ; Verteidiger der Toten ; Verteidigt 4 Friedhöfe während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Spell_Holy_Prayerofspirit
230 ; Nun gehört er mir! ; Nehmt einen Turm während einer einzigen Schlacht im Alteractal ein und und bleibt bis zu deren Ende. ; -Ability_Thunderbolt
231 ; Nun gehört ALLES mir! ; Nehmt 2 Türme während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Ability_Thunderbolt
232 ; Nun gehört ALLES mir! ; Nehmt 3 Türme während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Ability_Thunderbolt
233 ; Nun gehört ALLES mir! ; Nehmt 4 Türme während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Ability_Thunderbolt
234 ; Turmwächter ; Verteidigt einen Turm während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Inv_Shield_05
235 ; Turmverteidiger ; Verteidigt 2 Türme während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Inv_Shield_05
236 ; Turmverteidiger ; Verteidigt 3 Türme während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Inv_Shield_05
237 ; Turmverteidiger ; Verteidigt 4 Türme während einer einzigen Schlacht im Alteractal und bleibt bis zu deren Ende. ; -Inv_Shield_05
238 ; Gefrorener Bergmann ; Nehmt eine Mine während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Inv_Pick_01
239 ; Gefrorener Pikenier ; Nehmt 2 Minen während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Inv_Pick_01
240 ; Gefrorener Pikenier ; Nehmt 3 Minen während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Inv_Pick_01
241 ; Gefrorener Pikenier ; Nehmt 4 Minen während einer einzigen Schlacht im Alteractal ein und bleibt bis zu deren Ende. ; -Inv_Pick_01
242 ; Der Alteracblitz ; Gewinnt im Alteractal innerhalb von 6 Minuten. ; -achievement_bg_winav_underxminutes
243 ; Militärische Auszeichnung ; Erreicht 10 ehrenhafte Siege während einer einzigen Schlacht in der Warsongschlucht und bleibt bis zu deren Ende. ; -Ability_Rogue_Eviscerate
244 ; Militärische Auszeichnung ; Erreicht 25 ehrenhafte Siege während einer einzigen Schlacht in der Warsongschlucht und bleibt bis zu deren Ende. ; -Ability_Rogue_Eviscerate
245 ; Militärische Auszeichnung ; Erreicht 50 ehrenhafte Siege während einer einzigen Schlacht in der Warsongschlucht und bleibt bis zu deren Ende. ; -Ability_Rogue_Eviscerate
246 ; Militärische Auszeichnung ; Erreicht 75 ehrenhafte Siege während einer einzigen Schlacht in der Warsongschlucht und bleibt bis zu deren Ende. ; -Ability_Rogue_Eviscerate
247 ; Flaggenträger ; Ergreift und erobert die gegnerische Flagge während einer einzigen Schlacht in der Warsongschlucht und bleibt bis zu deren Ende. ; -Inv_Banner_03
248 ; Großartiger Flaggenträger ; Ergreift und erobert 2 gegnerische Flaggen während einer einzigen Schlacht in der Warsongschlucht und bleibt bis zu deren Ende. ; -Inv_Banner_03
249 ; Großartiger Flaggenträger ; Ergreift und erobert 3 gegnerische Flaggen während einer einzigen Schlacht in der Warsongschlucht und bleibt bis zu deren Ende. ; -Inv_Banner_03
250 ; Fasst das nicht an! ; Bringt als Verteidiger eine Flagge während einer einzigen Schlacht in der Warsongschlucht zurück und bleibt bis zu deren Ende. ; -Spell_Nature_Reincarnation
251 ; Hartnäckiger Verteidiger ; Bringt als Verteidiger 2 Flaggen während einer einzigen Schlacht in der Warsongschlucht zurück und bleibt bis zu deren Ende. ; -Spell_Nature_Reincarnation
252 ; Hartnäckiger Verteidiger ; Bringt als Verteidiger 3 Flaggen während einer einzigen Schlacht in der Warsongschlucht zurück und bleibt bis zu deren Ende. ; -Spell_Nature_Reincarnation
253 ; Motivation der Warsong ; Gewinnt in der Warsongschlucht in weniger als 7 Minuten. ; -achievement_bg_winwsg_underxminutes
254 ; Konquistador ; Erobert eine Basis während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende. ; -Ability_Eyeoftheowl
255 ; Flaggenjagd ; Erobert 2 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende. ; -Ability_Eyeoftheowl
256 ; Flaggenjagd ; Erobert 3 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende. ; -Ability_Eyeoftheowl
257 ; Flaggenjagd ; Erobert 4 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende. ; -Ability_Eyeoftheowl
258 ; Wächter ; Verteidigt eine Basis während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende. ; -Inv_Shield_06
259 ; Ehrenhafter Wächter ; Verteidigt 2 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende. ; -Inv_Shield_06
260 ; Ehrenhafter Wächter ; Verteidigt 3 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende. ; -Inv_Shield_06
261 ; Ehrenhafter Wächter ; Verteidigt 4 Basen während einer einzigen Schlacht im Arathibecken und bleibt bis zu deren Ende. ; -Inv_Shield_06
262 ; Katzen sind am wichtigsten ; Streichelt die angegebenen Haustiere im Arathibecken (/streicheln). ; -ability_hunter_catlikereflexes
263 ; Auf die Schnelle ; Gewinnt im Arathibecken in 6 Minuten. ; -achievement_bg_winab_underxminutes
264 ; Turmverteidigung ; Verteidigt 50 Türme im Alteractal. ; -achievement_bg_defendxtowers_av
265 ; Alterac-Grabjäger ; Nehmt 50 Friedhöfe im Alteractal ein. ; -achievement_bg_xkills_avgraveyard
266 ; Erobert die Flagge ; Ergreift und erobert persönlich 50 Flaggen in der Warsongschlucht. ; -achievement_bg_captureflag_wsg
267 ; Hartnäckiger Verteidiger ; Bringt als Verteidiger in der Warsongschlucht 50 Flaggen zurück. ; -achievement_bg_interruptx_flagcapture_attempts
268 ; Flaggenjagd ; Erobert 50 Flaggen im Arathibecken. ; -achievement_bg_takexflags_ab
269 ; Rettungseinsatz ; Eilt im Arathibecken 50-mal zur Verteidigung einer Basis, indem Ihr die Flagge zurückerobert. ; -ability_warrior_victoryrush
270 ; Frostwolfheuler ; Erhaltet einen Frostwolfheuler. ; -inv_jewelry_frostwolftrinket_01
271 ; Streitwidder der Sturmlanzen ; Erhaltet einen Streitwidder der Sturmlanzen. ; -inv_jewelry_stormpiketrinket_01
272 ; Sturmeroberer ; Ergreift und erobert persönlich die Flagge im Auge des Sturms und bleibt bis zum Ende der Schlacht. ; -achievement_bg_captureflag_eos
273 ; Sturmeroberer ; Ergreift und erobert persönlich 2 Flaggen im Auge des Sturms und bleibt bis zum Ende der Schlacht. ; -achievement_bg_captureflag_eos
274 ; Sturmeroberer ; Ergreift und erobert persönlich 3 Flaggen im Auge des Sturms und bleibt bis zum Ende der Schlacht. ; -achievement_bg_captureflag_eos
275 ; Für den Ruhm ; Erobert in einem einzigen Auge des Sturm-Kampfes die Flagge 3-mal, ohne zu sterben. ; -Spell_Arcane_MassDispel
276 ; Blutrünstiger Berserker ; Erteilt einen Todesstoß, während Ihr im Auge des Sturms unter dem Stärkungszauber Berserker steht. ; -Spell_Nature_BloodLust
277 ; Der perfekte Sturm ; Gewinnt im Auge des Sturms mit einem Ergebnis von 1.600 zu 0. ; -inv_brd_banner
278 ; Der Sturm ; Gewinnt im Auge des Sturms in weniger als 6 Minuten. ; -achievement_bg_wineos_underxminutes
279 ; Meister des Alteractals ; Schließt die unten aufgelisteten Questerfolge im Alteractal ab. ; -inv_jewelry_necklace_21
280 ; Meister der Warsongschlucht ; Schließt die unten aufgelisteten Questerfolge in der Warsongschlucht ab. ; -inv_misc_rune_07
281 ; Meister des Arathibeckens ; Schließt die unten aufgelisteten Arathibeckenerfolge ab. ; -inv_jewelry_amulet_07
282 ; Meister des Auge des Sturms ; Schließt die unten aufgelisteten Erfolge im Auge des Sturms ab. ; -Spell_Nature_EyeoftheStorm
283 ; Kampfmeister ; Schließt die unten aufgelisteten Schlachtfeld-Erfolge ab. ; -achievement_pvp_a_15
284 ; Ruf zu den Waffen! ; Schließt 10 Schlachtfelder ab. ; -Inv_Musket_02
285 ; Ruf zu den Waffen! ; Schließt 25 Schlachtfelder ab. ; -Inv_Musket_02
286 ; Ruf zu den Waffen! ; Schließt 50 Schlachtfelder ab. ; -Inv_Musket_02
287 ; Todbringer ; Erringt 100 Todesstöße auf einem beliebigen Schlachtfeld. ; -Spell_Shadow_Unholyfrenzy
288 ; Todbringer ; Erringt 250 Todesstöße auf einem beliebigen Schlachtfeld. ; -Spell_Shadow_Unholyfrenzy
289 ; Todbringer ; Erringt 500 Todesstöße auf einem beliebigen Schlachtfeld. ; -Spell_Shadow_Unholyfrenzy
290 ; Todbringer ; Erringt 750 Todesstöße auf einem beliebigen Schlachtfeld. ; -Spell_Shadow_Unholyfrenzy
291 ; Todbringer ; Erringt 1000 Todesstöße auf einem beliebigen Schlachtfeld. ; -Spell_Shadow_Unholyfrenzy
292 ; Todesengel ; Erringt 100 ehrenhafte Siege auf einem beliebigen Schlachtfeld. ; -Ability_Warrior_Innerrage
293 ; Todesengel ; Erringt 250 ehrenhafte Siege auf einem beliebigen Schlachtfeld. ; -Ability_Warrior_Innerrage
294 ; Todesengel ; Erringt 500 ehrenhafte Siege auf einem beliebigen Schlachtfeld. ; -Ability_Warrior_Innerrage
295 ; Todesengel ; Erringt 750 ehrenhafte Siege auf einem beliebigen Schlachtfeld. ; -Ability_Warrior_Innerrage
296 ; Todesengel ; Erringt 1000 ehrenhafte Siege auf einem beliebigen Schlachtfeld. ; -Ability_Warrior_Innerrage
297 ; Gurubashi Arenameister ; Plündert den Schmuck des Arenameisters in der Arena der Gurubashi. ; -Inv_Misc_ArmorKit_14
298 ; Gurubashi Arenagroßmeister ; Schließt die Quest von Störtebrecher ab, um den Schmuck des Arenagroßmeisters zu erhalten. ; -Inv_Misc_ArmorKit_04
299 ; Duell-ikat ; Gewinnt ein Duell gegen einen anderen Spieler. ; -ability_dualwieldspecialization
300 ; Duellist ; Gewinnt in 10 Duellen. ; -ability_dualwieldspecialization
301 ; Geübter Duellist ; Gewinnt in 25 Duellen. ; -ability_dualwieldspecialization
302 ; Meister-Duellist ; Gewinnt in 100 Duellen. ; -ability_dualwieldspecialization
303 ; Flammenschlund ; Bezwingt Taragaman den Hungerleider. ; -spell_shadow_summonfelguard
304 ; Die Höhlen des Wehklagens ; Bezwingt Mutanus den Verschlinger. ; -Achievement_boss_mutanus_the_devourer
305 ; Die Todesminen ; Bezwingt Edwin van Cleef. ; -achievement_boss_edwinvancleef
306 ; Burg Shadowfang ; Bezwingt Erzmagier Arugal. ; -achievement_boss_archmagearugal
307 ; Blackfathom-Tiefe ; Bezwingt Aku'mai. ; -achievement_boss_bazil_akumai
308 ; Verlies von Sturmwind ; Bezwingt Bazil Thredd. ; -Achievement_boss_bazil_thredd
309 ; Gnomeregan ; Bezwingt Robogenieur Thermaplugg. ; Achievement_boss_mekgineer_thermaplugg
310 ; Der Kral von Razorfen ; Bezwingt Charlga Razorflank. ; -Achievement_boss_charlgarazorflank
311 ; Das Scharlachrote Kloster ; Bezwingt den Scharlachroten Kreuzzug im Scharlachroten Kloster. ; -inv_helmet_52
312 ; Die Hügel von Razorfen ; Bezwingt Amnennar den Kältebringer. ; -achievement_boss_amnennar_the_coldbringer
313 ; Uldaman ; Bezwingt Archaedas. ; -achievement_boss_archaedas
314 ; Zul'Farrak ; Bezwingt Häuptling Ukorz Sandscalp. ; -Achievement_boss_chiefukorzsandscalp
315 ; Maraudon ; Bezwingt Prinzessin Theradras ; -Achievement_boss_princesstheradras
316 ; Versunkener Tempel ; Bezwingt Eranikus' Schemen. ; -achievement_boss_shadeoferanikus
317 ; Blackrocktiefen ; Bezwingt Imperator Dagran Thaurissan. ; -Achievement_boss_emperordagranthaurissan
318 ; Die Tiefen säubern ; Tötet die folgenden Bosse in den Blackrocktiefen. ; -Spell_Fire_Lavaspawn
319 ; Party in den Tiefen ; Bezwingt die folgenden Gegner im Grimmigen Säufer ; -inv_drink_05
320 ; Angriff ist die bessere Verteidigung ; Plündert den Stein der Erde von Panzor den Unbesiegbaren in den Blackrocktiefen. ; -Inv_Sword_47
321 ; Blackrocktiefen ; Schließt die unten aufgelisteten Erfolge in den Blackrocktiefen ab. ; -Inv_Misc_AhnQirajTrinket_03
322 ; Untere Blackrockspitze ; Bezwingt Oberanführer Wyrmthalak. ; -Achievement_boss_overlord_wyrmthalak
323 ; Obere Blackrockspitze  ; Bezwingt General Drakkisath. ; -achievement_boss_generaldrakkisath
324 ; Eindringling der Blackrockspitze ; Schließt die unten aufgelisteten Erfolge in der Blackrockspitze ab. ; -Inv_Sword_48
325 ; König des Düsterbruchs ; Schließt erfolgreich alle Düsterbruch-Dungeons ab. ; -Ability_Warrior_DecisiveStrike
326 ; Stratholme ; Bezwingt die bösen Drahtzieher der Invasion von Stratholme. ; -spell_deathknight_armyofthedead
327 ; Scholomance ; Bezwingt die Anführer von Scholomance. ; -Spell_Holy_Senseundead
328 ; Klassischer Dungeonmeister ; Schließt die unten aufgelisteten Dungeon-Erfolge ab. ; -spell_holy_revivechampion
329 ; Verteidiger von Azeroth ; Schließt die unten aufgelisteten Dungeon-Erfolge ab. ; -achievement_dungeon_classicraider
330 ; Onyxias Hort ; Bezwingt Onyxia. ; -achievement_boss_onyxia
331 ; Ruinen von Ahn'Qiraj ; Bezwingt Ossirian den Narbenlosen. ; -Achievement_boss_ossiriantheunscarred
332 ; Zul'Gurub ; Bezwingt Hakkar. ; -achievement_boss_hakkar
333 ; Geschmolzener Kern ; Bezwingt Ragnaros. ; -achievement_boss_ragnaros
334 ; Pechschwingenhort ; Bezwingt Nefarian. ; -Achievement_boss_nefarion
335 ; Tempel von Ahn'Qiraj ; Bezwingt C'Thun. ; -Achievement_boss_cthun
336 ; Das Arachnidenviertel ; Bezwingt die Bosse im Arachnidenviertel von Naxxramas ; -Inv_Trinket_Naxxramas04
337 ; Das Seuchenviertel ; Bezwingt die Bosse im Seuchenviertel von Naxxramas. ; -inv_misc_cauldron_nature
338 ; Das Militärviertel ; Bezwingt die Bosse im Militärviertel von Naxxramas. ; -spell_deathknight_classicon
339 ; Das Konstruktviertel ; Bezwingt die Bosse im Konstruktviertel von Naxxramas. ; -ability_rogue_deviouspoisons
340 ; Kel'Thuzads Niederlage ; Bezwingt Kel'Thuzad in Naxxramas. ; -inv_trinket_naxxramas06
341 ; Der Fall Naxxramas' ; Schließt die unten aufgelisteten Erfolge in Naxxramas ab. ; -achievement_dungeon_naxxramas_10man
342 ; Aufstrebender Held von Azeroth ; Schließt die unten aufgelisteten Schlachtzugserfolge ab. ; -Achievement_dungeon_gloryofthehero
343 ; Herr des Blackrock ; Schließt die unten aufgelisteten Erfolge im Blackrock ab. ; -achievement_dungeon_classicdungeonmaster
344 ; Held von Azeroth ; Schließt die unten aufgelisteten Schlachtzugserfolge ab. ; -Achievement_dungeon_heroic_gloryoftheraider
345 ; Großartiger Held von Azeroth ; Schließt die unten aufgelisteten Dungeon- und Schlachtzugserfolge ab. ; -Achievement_dungeon_gloryoftheraider
346 ; Das Geheimnis des blauen Drachens ; Bezwingt Azuregos. ; -achievement_boss_cyanigosa
347 ; Dämonen können nicht vorbei ; Bezwingt Lord Kazzak. ; -ability_warlock_demonicempowerment
348 ; Kein Platz für Mädchen in einem Albtraum ; Bezwingt Ysondre. ; -achievement_boss_valithradreamwalker
349 ; Kind des Smaragdgrünen Albtraums ; Bezwingt Lethon. ; -Achievement_boss_aeonus_01
350 ; Emeriss, Verräter des Lebens ; Bezwingt Emeriss. ; -Achievement_boss_malygos_01
351 ; Albtraumhafte Taerar ; Bezwingt Taerar. ; -Achievement_boss_eregos
352 ; Smaragdgrüner Wächter ; Bezwingt alle Drachen des Smaragdgrünen Albtraums. ; -inv_misc_shadowegg
353 ; Leeeeeeeeeeeeeeeroy! ; Tötet 50 Krähenhorstwelpen innerhalb von 15 Sekunden. ; -ability_mount_drake_red
354 ; Doppelter Atem ; Bezwingt Schattenschwinge und Flammenmaul innerhalb von 45 Sekunden. ; -ability_mount_drake_twilight
355 ; Der böse Spinnenlord ; Bezwingt Anub'Rekhan in Naxxramas, während beide Gruftwachen am Leben sind. ; -achievement_boss_anubarak
356 ; Witwenjäger ; Bezwingt Großwitwe Faerlina in Naxxramas, während alle Anhänger und Jünger von Naxxramas am Leben sind. ; -spell_shadow_curseofmannoroth
357 ; Arachnophobie ; Bezwingt Maexxna in Naxxramas innerhalb von 20 Minuten nach Anub'Rekhans Tod. ; -achievement_halloween_spider_01
358 ; Zusammen bis in den Tod ; Bezwingt die Vier Reiter in Naxxramas, wobei sie im Abstand von höchstens 15 Sekunden hintereinander sterben müssen. ; -spell_deathknight_summondeathcharger
359 ; Ziemlich frostig hier ; Bezwingt Saphiron in Naxxramas, ohne dass jemand aus dem Schlachtzug stirbt. ; -spell_frost_icestorm
360 ; Dungeonmeister der Scherbenwelt ; Schließt die unten aufgelisteten "Burning Crusade"-Dungeonerfolge ab. ; -spell_holy_summonchampion
361 ; Dungeonheld der Scherbenwelt ; Schließt die unten aufgelisteten heroischen "Burning Crusade"-Dungeonerfolge ab. ; -ability_creature_cursed_02
362 ; Höllenfeuerbollwerk ; Bezwingt die Anführer im Höllenfeuerbollwerk. ; -Achievement_boss_omartheunscarred_01
363 ; Heroisch: Höllenfeuerbollwerk ; Bezwingt die Anführer im Höllenfeuerbollwerk auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_omartheunscarred_01
364 ; Der Blutkessel ; Bezwingt Keli'dan den Zerstörer. ; -Achievement_boss_kelidanthebreaker
365 ; Heroisch: Der Blutkessel ; Bezwingt Keli'dan den Zerstörer auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_kelidanthebreaker
366 ; Die Sklavenunterkünfte ; Bezwingt Quagmirran. ; -Achievement_boss_quagmirran
367 ; Heroisch: Die Sklavenunterkünfte ; Bezwingt Quagmirran auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_quagmirran
368 ; Tiefensumpf ; Bezwingt die Schattenmutter. ; -Achievement_boss_theblackstalker
369 ; Heroisch: Tiefensumpf ; Bezwingt die Schattenmutter auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_theblackstalker
370 ; Managruft ; Bezwingt den Nexusprinzen Shaffar. ; -achievement_boss_nexus_prince_shaffar
371 ; Heroisch: Managruft ; Bezwingt den Nexusprinzen Shaffar auf dem Schwierigkeitsgrad 'Heroisch'. ; -achievement_boss_nexus_prince_shaffar
372 ; Auchenaikrypta ; Bezwingt Exarch Maladaar. ; -Achievement_boss_exarch_maladaar
373 ; Heroisch: Auchenaikrypta ; Bezwingt Exarch Maladaar auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_exarch_maladaar
374 ; Die Flucht aus Durnholde ; Bezwingt den Epochenjäger. ; -Achievement_boss_epochhunter
375 ; Heroisch: Die Flucht aus Durnholde ; Bezwingt den Epochenjäger auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_epochhunter
376 ; Sethekkhallen ; Bezwingt den Klauenkönig Ikiss. ; -Achievement_boss_talonkingikiss
377 ; Heroisch: Sethekkhallen ; Bezwingt den Klauenkönig Ikiss auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_talonkingikiss
378 ; Die Dampfkammer ; Bezwingt den Kriegsherrn Kalithresh. ; -Achievement_boss_warlord_kalithresh
379 ; Heroisch: Die Dampfkammer ; Bezwingt den Kriegsherrn Kalithresh auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_warlord_kalithresh
380 ; Schattenlabyrinth ; Bezwingt Murmur. ; -achievement_boss_murmur
381 ; Heroisch: Schattenlabyrinth ; Bezwingt Murmur auf dem Schwierigkeitsgrad 'Heroisch'. ; -achievement_boss_murmur
382 ; Die Zerschmetterten Hallen ; Bezwingt den Kriegshäuptling Kargath Messerfaust. ; -Achievement_boss_kargathbladefist_01
383 ; Heroisch: Die Zerschmetterten Hallen ; Bezwingt den Kriegshäuptling Kargath Messerfaust auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_kargathbladefist_01
384 ; Öffnung des Dunklen Portals ; Bezwingt Aeonus. ; -Achievement_boss_aeonus_01
385 ; Heroisch: Öffnung des Dunklen Portals ; Bezwingt Aeonus auf dem Schwierigkeitsgrad 'Heroisch'. ; -Achievement_boss_aeonus_01
386 ; Die Botanika ; Bezwingt Warpzweig. ; -achievement_boss_warpsplinter
387 ; Heroisch: Die Botanika ; Bezwingt Warpzweig auf dem Schwierigkeitsgrad 'Heroisch'. ; -achievement_boss_warpsplinter
388 ; Die Mechanar ; Bezwingt Pathaleon den Kalkulator. ; -achievement_boss_pathaleonthecalculator
389 ; Heroisch: Die Mechanar ; Bezwingt Pathaleon den Kalkulator auf dem Schwierigkeitsgrad 'Heroisch'. ; -achievement_boss_pathaleonthecalculator
390 ; Die Arkatraz ; Bezwingt Herold Horizontiss. ; -achievement_boss_harbinger_skyriss
391 ; Heroisch: Die Arkatraz ; Bezwingt Herold Horizontiss auf dem Schwierigkeitsgrad 'Heroisch'. ; -achievement_boss_harbinger_skyriss
392 ; Terrasse der Magister ; Bezwingt Kael'thas Sonnenwanderer. ; -achievement_character_bloodelf_male
393 ; Heroisch: Terrasse der Magister ; Bezwingt Kael'thas Sonnenwanderer auf dem Schwierigkeitsgrad 'Heroisch'. ; -achievement_character_bloodelf_male
394 ; Die Zügel des Rabenfürsten ; Erhaltet die Zügel des Rabenfürsten von Anzu in den Sethekkhallen. ; -Inv-Mount_Raven_54
395 ;  Ich bin der Meister meines Schicksals ; Bezwingt Verdammnislord Kazzak auf der Höllenfeuerhalbinsel. ; -spell_shadow_shadowbolt
396 ; Kaputter Verdammniswandler ; Bezwingt den Verdammniswandler im Schattenmondtal. ; -spell_fire_felflamebreath
397 ; Karazhan ; Bezwingt Prinz Malchezaar in Karazhan. ; -achievement_boss_prince_malchezaar
398 ; Gruuls Unterschlupf ; Bezwingt Gruul den Drachenschlächter in Gruuls Unterschlupf. ; -Achievement_boss_gruulthedragonkiller
399 ; Magtheridons Kammer ; Bezwingt Magtheridon in Magtheridons Kammer. ; -achievement_boss_magtheridon
400 ; Scherbenwelt-Schlachtzugsmeister - Phase 1 ; Schließt die unten aufgelisteten Schlachtzugserfolge der Scherbenwelt ab. ; -Inv_Helmet_89
401 ; Höhle des Schlangenschreins ; Bezwingt die folgenden Bosse in der Höhle des Schlangenschreins. ; -Achievement_boss_ladyvashj
402 ; Die Festung der Stürme ; Bezwingt die folgenden Bosse in der Festung der Stürme. ; achievement_character_bloodelf_male
403 ; Scherbenwelt-Schlachtzugsmeister - Phase 2 ; Schließt die unten aufgelisteten Schlachtzugserfolge der Scherbenwelt ab. ; -Inv_Helmet_90
404 ; Die Schlacht um den Hyjal ; Bezwingt Archimonde in der Schlacht um den Hyjal. ; -achievement_boss_princemalchezaar_02
405 ; Infiltration ; Dringt über die Kanäle von Karabor in den Schwarzen Tempel ein, indem ihr nachfolgende Bosse bezwingt. ; -Spell_Fire_BlueImmolation
406 ; Akolyth von Karabor  ; Reinigt die Hallen des Schwarzen Tempels, indem ihr nachfolgende Bosse bezwingt. ; -Spell_Shadow_ConeOfSilence
407 ; Tempelspitze ; Infiltriert die oberen Stockwerke des Schwarzen Tempels, indem ihr nachfolgende Bosse bezwingt. ; -Spell_Shadow_ShadowPower
408 ; Der Schwarze Tempel ; Schließt die unten aufgelisteten Erfolge im Schwarzen Tempel ab. ; -achievement_boss_illidan
409 ; Scherbenwelt-Schlachtzugsmeister - Phase 3 ; Schließt die unten aufgelisteten Schlachtzugserfolge der Scherbenwelt ab. ; -Inv_Helmet_103
410 ; Zul'Aman ; Bezwingt Zul'jin in Zul'Aman. ; -achievement_boss_zuljin
411 ; Scherbenwelt-Schlachtzugsmeister - Phase 4 ; Schließt die unten aufgelisteten Schlachtzugserfolge der Scherbenwelt ab. ; -inv_helmet_112
412 ; Das Sonnenbrunnenplateau ; Bezwingt Kil'jaeden auf dem Sonnenbrunnenplateau. ; -achievement_boss_kiljaedan
413 ; Scherbenwelt-Schlachtzugsmeister - Phase 5 ; Schließt die unten aufgelisteten Schlachtzugserfolge der Scherbenwelt ab. ; -inv_helmet_92
414 ; Lehrlingsprüfung ; Erlangt 75 Fertigkeitspunkte in einem Beruf. ; -Inv_Misc_Note_01
415 ; Gesellenprüfung ; Erlangt 150 Fertigkeitspunkte in einem Beruf. ; -Inv_Misc_Note_01
416 ; Professioneller Experte ; Erlangt 225 Fertigkeitspunkte in einem Beruf. ; -Inv_Misc_Note_01
417 ; Professioneller Fachmann ; Erlangt 300 Fertigkeitspunkte in einem Beruf. ; -Inv_Misc_Note_01
418 ; Meisterprüfung ; Erlangt 375 Fertigkeitspunkte in einem Beruf. ; -Inv_Misc_Note_01
419 ; Handwerker ; Werdet gleichzeitig in zwei Berufen Fachmann. ; -ability_repair
420 ; Handwerker der Scherbenwelt ; Werdet gleichzeitig in zwei Berufen Meister. ; -ability_repair
421 ; Lehrling in Erster Hilfe ; Erlangt 75 Fertigkeitspunkte in Erster Hilfe. ; -spell_holy_sealofsacrifice
422 ; Geselle in Erster Hilfe ; Erlangt 150 Fertigkeitspunkte in Erster Hilfe. ; -spell_holy_sealofsacrifice
423 ; Experte in Erster Hilfe ; Erlangt 225 Fertigkeitspunkte in Erster Hilfe. ; -spell_holy_sealofsacrifice
424 ; Fachmann in Erster Hilfe ; Erlangt 300 Fertigkeitspunkte in Erster Hilfe. ; -spell_holy_sealofsacrifice
425 ; Anglerlehrling ; Erlangt 75 Fertigkeitspunkte im Angeln. ; -trade_fishing
426 ; Anglergeselle ; Erlangt 150 Fertigkeitspunkte im Angeln. ; -trade_fishing
427 ; Expertenangler ; Erlangt 225 Fertigkeitspunkte im Angeln. ; -trade_fishing
428 ; Anglerfachmann ; Erlangt 300 Fertigkeitspunkte im Angeln. ; -trade_fishing
429 ; Kochlehrling ; Erlangt 75 Fertigkeitspunkte im Kochen. ; -inv_misc_food_15
430 ; Kochgeselle ; Erlangt 150 Fertigkeitspunkte im Kochen. ; -inv_misc_food_15
431 ; Expertenkoch ; Erlangt 225 Fertigkeitspunkte im Kochen. ; -inv_misc_food_15
432 ; Der Kochfachmann ; Erlangt 300 Fertigkeitspunkte im Kochen. ; -inv_misc_food_15
433 ; Außergewöhnliche Fähigkeiten ; Werdet gleichzeitig Fachmann des Angelns, der Ersten Hilfe und der Kochkunst. ; -Inv_Misc_Note_02
434 ; Meister der Ersten Hilfe ; Erlangt 375 Fertigkeitspunkte in Erster Hilfe. ; -spell_holy_sealofsacrifice
435 ; Meisterangler ; Erlangt 375 Fertigkeitspunkte im Angeln. ; -trade_fishing
436 ; Meisterkoch ; Erlangt 375 Fertigkeitspunkte im Kochen. ; -inv_misc_food_15
437 ; Außergewöhnliche Fähigkeiten der Scherbenwelt ; Werdet gleichzeitig Meister des Angelns, der Ersten Hilfe und der Kochkunst. ; -Inv_Misc_Note_02
438 ; Genie ; Erlangt die unten aufgelisteten Berufserfolge. ; -Spell_Magic_GreaterBlessingOfKings
