ID; Name; Description
274 ; Storm Capper ; Personally carry and capture 3 flags in Eye of the Storm and stay until the end of the battle. ; achievement_bg_captureflag_eos
275 ; Bound for Glory ; In a single Eye of the Storm match, capture the flag 3 times without dying. ; -Spell_Arcane_MassDispel
276 ; Bloodthirsty Berserker ; Get a killing blow while under the effects of the berserker buff in Eye of the Storm. ; -Spell_Nature_BloodLust
277 ; The Perfect Storm ; Win Eye of the Storm with a score of 2000 to 0. ; -inv_brd_banner
278 ; Flurry ; Win Eye of the Storm in under 6 minutes. ; achievement_bg_wineos_underxminutes
279 ; Master of Alterac Valley ; Complete the Alterac Valley achievements listed below. ; -inv_jewelry_necklace_21
280 ; Master of Warsong Gulch ; Complete the Warsong Gulch achievements listed below. ; -inv_misc_rune_07
281 ; Master of Arathi Basin ; Complete the Arathi Basin achievements listed below. ; -inv_jewelry_amulet_07
282 ; Master of Eye of the Storm ; Complete the Eye of the Storm achievements listed below. ; -Spell_Nature_EyeoftheStorm
283 ; Battlemaster ; Complete the battleground achievements listed below. ; achievement_pvp_a_15
284 ; Call to Arms! ; Complete 10 battlegrounds. ; -Inv_Musket_02
285 ; Call to Arms! ; Complete 25 battlegrounds. ; -Inv_Musket_02
286 ; Call to Arms! ; Complete 50 battlegrounds. ; -Inv_Musket_02
287 ; Deathbringer ; Make 100 killing blows on any battleground. ; -Spell_Shadow_Unholyfrenzy
288 ; Deathbringer ; Make 250 killing blows on any battleground. ; -Spell_Shadow_Unholyfrenzy
289 ; Deathbringer ; Make 500 killing blows on any battleground. ; -Spell_Shadow_Unholyfrenzy
290 ; Deathbringer ; Make 750 killing blows on any battleground. ; -Spell_Shadow_Unholyfrenzy
291 ; Deathbringer ; Make 1000 killing blows on any battleground. ; -Spell_Shadow_Unholyfrenzy
292 ; Honor Aggregator ; Get 100 honorable kills on any battleground. ; -Ability_Warrior_Innerrage
293 ; Honor Aggregator ; Get 250 honorable kills on any battleground. ; -Ability_Warrior_Innerrage
294 ; Honor Aggregator ; Get 500 honorable kills on any battleground. ; -Ability_Warrior_Innerrage
295 ; Honor Aggregator ; Get 750 honorable kills on any battleground. ; -Ability_Warrior_Innerrage
296 ; Honor Aggregator ; Get 1000 honorable kills on any battleground. ; -Ability_Warrior_Innerrage
297 ; Gurubashi Arena Master ; Loot the Arena Master trinket from the Gurubashi Arena. ; -Inv_Misc_ArmorKit_14
298 ; Gurubashi Arena Grand Master ; Complete Short John Mithril's quest to obtain the Arena Grand Master trinket. ; -Inv_Misc_ArmorKit_04
299 ; Duel-icious ; Win a duel against another player. ; -ability_dualwieldspecialization
300 ; Duelist ; Win in 10 duels. ; -ability_dualwieldspecialization
301 ; Skilled Duelist ; Win in 25 duels. ; -ability_dualwieldspecialization
302 ; Master Duelist ; Win in 100 duels. ; -ability_dualwieldspecialization
303 ; Ragefire Chasm ; Defeat Taragaman the Hungerer. ; -spell_shadow_summonfelguard
304 ; Wailing Caverns ; Defeat Mutanus the Devourer. ; achievement_boss_mutanus_the_devourer
305 ; Deadmines ; Defeat Edwin VanCleef. ; achievement_boss_edwinvancleef
306 ; Shadowfang Keep ; Defeat Archmage Arugal. ; achievement_boss_archmagearugal
307 ; Blackfathom Deeps ; Defeat Aku'mai. ; achievement_boss_bazil_akumai
308 ; Stormwind Stockade ; Defeat Bazil Thredd. ; achievement_boss_bazil_thredd
309 ; Gnomeregan ; Defeat Mekgineer Thermaplugg. ; Achievement_boss_mekgineer_thermaplugg
310 ; Razorfen Kraul ; Defeat Charlga Razorflank. ; achievement_boss_charlgarazorflank
311 ; Scarlet Monastery ; Defeat the Scarlet Crusade within the Scarlet Monastery. ; -inv_helmet_52
312 ; Razorfen Downs ; Defeat Amnennar the Coldbringer. ; achievement_boss_amnennar_the_coldbringer
313 ; Uldaman ; Defeat Archaedas. ; achievement_boss_archaedas
314 ; Zul'Farrak ; Defeat Chief Ukorz Sandscalp. ; achievement_boss_chiefukorzsandscalp
315 ; Maraudon ; Defeat Princess Theradras. ; achievement_boss_princesstheradras
316 ; Sunken Temple ; Defeat Shade of Eranikus. ; achievement_boss_shadeoferanikus
317 ; Blackrock Depths ; Defeat Emperor Dagran Thaurissan. ; achievement_boss_emperordagranthaurissan
318 ; Clearing the Depths ; Defeat the following bosses in Blackrock Depths. ; -Spell_Fire_Lavaspawn
319 ; Party in the Guzzler ; Defeat all listed opponents in the Grim Guzzler. ; -inv_drink_05
320 ; The Best Defense Is an Attack ; Loot the Stone of the Earth from the body of the defeated Panzor the Invincible in Blackrock Depths. ; -Inv_Sword_47
321 ; Blackrock Depths ; Earn following achievements related to Blackrock Depths. ; -Inv_Misc_AhnQirajTrinket_03
322 ; Lower Blackrock Spire ; Defeat Overlord Wyrmthalak. ; achievement_boss_overlord_wyrmthalak
323 ; Upper Blackrock Spire ; Defeat General Drakkisath. ; achievement_boss_generaldrakkisath
324 ; Invader of the Blackrock Spire ; Earn the following achievements related to Blackrock Spire. ; -Inv_Sword_48
325 ; King of Dire Maul ; Defeat each wing of Dire Maul. ; -Ability_Warrior_DecisiveStrike
326 ; Stratholme ; Defeat the evil masterminds inhabiting Stratholme. ; spell_deathknight_armyofthedead
327 ; Scholomance ; Defeat the leaders of Scholomance. ; -Spell_Holy_Senseundead
328 ; Young Defender of Azeroth ; Earn the low-level dungeon achievements listed below. ; -spell_holy_revivechampion
329 ; Defender of Azeroth ; Earn the dungeon achievements listed below. ; achievement_dungeon_classicraider
330 ; Onyxia's Lair ; Defeat Onyxia. ; achievement_boss_onyxia
331 ; Ruins of Ahn'Qiraj ; Defeat Ossirian the Unscarred. ; achievement_boss_ossiriantheunscarred
332 ; Zul'Gurub ; Defeat Hakkar. ; achievement_boss_hakkar
333 ; Molten Core ; Defeat Ragnaros. ; achievement_boss_ragnaros
334 ; Blackwing Lair ; Defeat Nefarian. ; achievement_boss_nefarion
335 ; Temple of Ahn'Qiraj ; Defeat C'Thun. ; achievement_boss_cthun
336 ; The Arachnid Quarter ; Defeat the bosses of The Arachnid Quarter of Naxxramas. ; -Inv_Trinket_Naxxramas04
337 ; The Plague Quarter ; Defeat the bosses of The Plague Quarter of Naxxramas. ; -inv_misc_cauldron_nature
338 ; The Military Quarter ; Defeat the bosses of The Military Quarter of Naxxramas. ; spell_deathknight_classicon
339 ; The Construct Quarter  ; Defeat the bosses of The Construct Quarter of Naxxramas. ; ability_rogue_deviouspoisons
340 ; Kel'Thuzad's Defeat ; Defeat Kel'Thuzad in Naxxramas. ; -inv_trinket_naxxramas06
341 ; The Fall of Naxxramas ; Earn the following Naxxramas related achievements. ; achievement_dungeon_naxxramas_normal
342 ; Young Hero of Azeroth ; Earn the raid achievements listed below. ; achievement_dungeon_gloryofthehero
343 ; Lord of the Blackrock ; Earn the following achievements related to the Blackrock dungeons and raids. ; achievement_dungeon_classicdungeonmaster
344 ; Hero of Azeroth ; Earn the raid achievements listed below. ; achievement_dungeon_heroic_gloryoftheraider
345 ; Great Hero of Azeroth ; Earn the raid and dungeon achievements listed below. ; achievement_dungeon_gloryoftheraider
346 ; The Secret of the Blue Dragon ; Defeat Azuregos. ; achievement_boss_cyanigosa
347 ; Demons shall not pass ; Defeat Lord Kazzak. ; ability_warlock_demonicempowerment
348 ; No place for girls in a Nightmare ; Defeat Ysondre. ; achievement_boss_valithradreamwalker
349 ; Child of the Emerald Nightmare ; Defeat Lethon. ; achievement_boss_aeonus_01
350 ; Emeriss, Traitor to Life ; Defeat Emeriss. ; achievement_boss_malygos_01
351 ; Nightmarish Taerar ; Defeat Taerar. ; achievement_boss_eregos
352 ; Emerald Keeper ; Defeat all Dragons of the Emerald Nightmare. ; inv_misc_shadowegg
353 ; Leeeeeeeeeeeeeroy! ; Kill 50 rookery whelps within 15 seconds. ; ability_mount_drake_red
354 ; Double Breathing ; Kill Ebonroc and Flamegor within 45 seconds. ; ability_mount_drake_twilight
355 ; The Crypt Lord ; Slay Anub'Rekhan, leaving both Crypt Guards alive. ; achievement_boss_anubarak
356 ; Momma Said Knock You Out ; Slay Grand Widow Faerlina, leaving all the worshipers and followers of Naxxramas alive. ; -spell_shadow_curseofmannoroth
357 ; Arachnophobia ; Kill Maexxna in Naxxramas within 20 minutes of Anub'Rekhan's death in 25-player mode. ; achievement_halloween_spider_01
358 ; And They Would All Go Down Together ; Defeat the 4 Horsemen in Naxxramas, ensuring that they all die within 15 seconds of each other. ; spell_deathknight_summondeathcharger
359 ; We won't succumb to the ice ; Defeat Sapphiron in Naxxramas without anyone in the raid dying. ; -spell_frost_icestorm
360 ; Outland Dungeonmaster ; Complete the Burning Crusade dungeon achievements listed below. ; -spell_holy_summonchampion
361 ; Outland Dungeon Hero ; Complete the heroic Burning Crusade dungeon achievements listed below. ; -ability_creature_cursed_02
362 ; Hellfire Ramparts ; Defeat the leaders of Hellfire Ramparts. ; achievement_boss_omartheunscarred_01
363 ; Heroic: Hellfire Ramparts ; Defeat the leaders of Hellfire Ramparts on Heroic Difficulty. ; achievement_boss_omartheunscarred_01
364 ; The Blood Furnace ; Defeat Keli'dan the Breaker. ; achievement_boss_kelidanthebreaker
365 ; Heroic: The Blood Furnace ; Defeat Keli'dan the Breaker on Heroic Difficulty. ; achievement_boss_kelidanthebreaker
366 ; The Slave Pens ; Defeat Quagmirran. ; achievement_boss_quagmirran
367 ; Heroic: The Slave Pens ; Defeat Quagmirran on Heroic Difficulty. ; achievement_boss_quagmirran
368 ; Underbog ; Defeat The Black Stalker. ; achievement_boss_theblackstalker
369 ; Heroic: Underbog ; Defeat The Black Stalker on Heroic Difficulty. ; achievement_boss_theblackstalker
370 ; Mana-Tombs ; Defeat Nexus-Prince Shaffar. ; achievement_boss_nexus_prince_shaffar
371 ; Heroic: Mana-Tombs ; Defeat Nexus-Prince Shaffar on Heroic Difficulty. ; achievement_boss_nexus_prince_shaffar
372 ; Auchenai Crypts ; Defeat Exarch Maladaar. ; achievement_boss_exarch_maladaar
373 ; Heroic: Auchenai Crypts ; Defeat Exarch Maladaar on Heroic Difficulty. ; achievement_boss_exarch_maladaar
374 ; The Escape From Durnholde ; Defeat Epoch Hunter. ; achievement_boss_epochhunter
375 ; Heroic: The Escape From Durnholde ; Defeat Epoch Hunter on Heroic Difficulty. ; achievement_boss_epochhunter
376 ; Sethekk Halls ; Defeat Talon King Ikiss. ; achievement_boss_talonkingikiss
377 ; Heroic: Sethekk Halls ; Defeat Talon King Ikiss on Heroic Difficulty. ; achievement_boss_talonkingikiss
378 ; The Steamvault ; Defeat Warlord Kalithresh. ; achievement_boss_warlord_kalithresh
379 ; Heroic: The Steamvault ; Defeat Warlord Kalithresh on Heroic Difficulty. ; achievement_boss_warlord_kalithresh
380 ; Shadow Labyrinth ; Defear Murmur. ; achievement_boss_murmur
381 ; Heroic: Shadow Labyrinth ; Defear Murmur on Heroic Difficulty. ; achievement_boss_murmur
382 ; The Shattered Halls ; Defeat Warchief Kargath Bladefist. ; achievement_boss_kargathbladefist_01
383 ; Heroic: The Shattered Halls ; Defeat Warchief Kargath Bladefist on Heroic Difficulty. ; achievement_boss_kargathbladefist_01
384 ; Opening of the Dark Portal ; Defeat Aeonus. ; achievement_boss_aeonus_01
385 ; Heroic: Opening of the Dark Portal ; Defeat Aeonus on Heroic Difficulty. ; achievement_boss_aeonus_01
386 ; The Botanica ; Defeat Warp Splinter. ; achievement_boss_warpsplinter
387 ; Heroic: The Botanica ; Defeat Warp Splinter on Heroic Difficulty. ; achievement_boss_warpsplinter
388 ; The Mechanar ; Defeat Pathaleon the Calculator. ; achievement_boss_pathaleonthecalculator
389 ; Heroic: The Mechanar ; Defeat Pathaleon the Calculator on Heroic Difficulty. ; achievement_boss_pathaleonthecalculator
390 ; The Arcatraz ; Defeat Harbringer Skyriss. ; achievement_boss_harbinger_skyriss
391 ; Heroic: The Arcatraz ; Defeat Harbringer Skyriss on Heroic Difficulty. ; achievement_boss_harbinger_skyriss
392 ; Magisters' Terrace ; Defeat Kael'thas Sunstrider. ; achievement_boss_kaelthassunstrider_01
393 ; Heroic: Magisters' Terrace ; Defeat Kael'thas Sunstrider on Heroic Difficulty. ; achievement_boss_kaelthassunstrider_01
394 ; Reins of the Raven Lord ; Obtain the Reins of the Raven Lord from Anzu in Sethekk Halls. ; -Inv-Mount_Raven_54
395 ; I'm the Master of my Fate ; Defeat Doom Lord Kazzak in Hellfire Peninsula. ; -spell_shadow_shadowbolt
396 ; Broken Doomwalker ; Defeat Doomwalker in Shadowmoon Valley. ; -spell_fire_felflamebreath
397 ; Karazhan ; Defeat Prince Malchezaar in Karazhan. ; achievement_boss_prince_malchezaar
398 ; Gruul's Lair ; Defeat Gruul the Dragonkiller in Gruul's Lair. ; achievement_boss_gruulthedragonkiller
399 ; Magtheridon's Lair ; Defeat Magtheridon in Magtheridon's Lair. ; achievement_boss_magtheridon
400 ; Outland Raider - Phase 1 ; Complete the Burning Crusade raid achievements listed below. ; -Inv_Helmet_89
401 ; Serpentshrine Cavern ; Defeat the bosses listed below inside Serpentshrine Cavern. ; achievement_boss_ladyvashj
402 ; Tempest Keep ; Defeat the bosses listed below inside The Eye. ; achievement_character_bloodelf_male
403 ; Outland Raider - Phase 2 ; Complete the Burning Crusade raid achievements listed below. ; -Inv_Helmet_90
404 ; The Battle for Mount Hyjal ; Defeat Archimonde in The Battle for Mount Hyjal. ; achievement_boss_princemalchezaar_02
405 ; Infiltration ; Make your way inside the Black Temple via the Sewers of Karabor by defeating the bosses listed below. ; -spell_Fire_BlueImmolation
406 ; Acolyte of Karabor ; Cleanse the main halls of the Black Temple from the evil that has settled in there by defeating the bosses listed below. ; -spell_Shadow_ConeOfSilence
407 ; Top of the Temple ; Infiltrate the upper floors of the Black Temple and defeat the bosses listed below. ; -Spell_Shadow_ShadowPower
408 ; The Black Temple ; Earn the achievements listed below by defeating all bosses in the Black Temple. ; achievement_boss_illidan
409 ; Outland Raider - Phase 3 ; Complete the Burning Crusade raid achievements listed below. ; -Inv_Helmet_103
410 ; Zul'Aman ; Defeat Zul'jin in Zul'Aman. ; achievement_boss_zuljin
411 ; Outland Raider - Phase 4 ; Complete the Burning Crusade raid achievements listed below. ; -inv_helmet_112
412 ; Sunwell Plateau ; Defeat Kil'jaeden in Sunwell Plateau. ; achievement_boss_kiljaedan
413 ; Outland Raider - Phase 5 ; Complete the Burning Crusade raid achievements listed below. ; -inv_helmet_92
414 ; Professional Apprentice ; Raise the skill of any main profession to 75. ; -Inv_Misc_Note_01
415 ; Professional Journeyman ; Raise the skill of any main profession to 150. ; -Inv_Misc_Note_01
416 ; Professional Expert ; Raise the skill of any main profession to 225. ; -Inv_Misc_Note_01
417 ; Professional Artisan ; Raise the skill of any main profession to 300. ; -Inv_Misc_Note_01
418 ; Professional Master ; Raise the skill of any main profession to 375. ; -Inv_Misc_Note_01
419 ; Handyman ; Raise the skill of two main professions to 300 at the same time. ; -ability_repair
420 ; Outlandish Handyman ; Raise the skill of two main professions to 375 at the same time. ; -ability_repair
421 ; Apprentice in First Aid ; Raise the skill of first aid to 75. ; -spell_holy_sealofsacrifice
422 ; Journeyman in First Aid ; Raise the skill of first aid to 150. ; -spell_holy_sealofsacrifice
423 ; Expert in First Aid ; Raise the skill of first aid to 225. ; -spell_holy_sealofsacrifice
424 ; Artisan in First Aid ; Raise the skill of first aid to 300. ; -spell_holy_sealofsacrifice
425 ; Apprentice Fisherman ; Raise the skill of fishing to 75. ; -trade_fishing
426 ; Journeyman Fisherman ; Raise the skill of fishing to 150. ; -trade_fishing
427 ; Expert Fisherman ; Raise the skill of fishing to 225. ; -trade_fishing
428 ; Artisan Fisherman ; Raise the skill of fishing to 300. ; -trade_fishing
429 ; Apprentice Cook ; Raise the skill of cooking to 75. ; -inv_misc_food_15
430 ; Journeyman Cook ; Raise the skill of cooking to 150. ; -inv_misc_food_15
431 ; Expert Cook ; Raise the skill of cooking to 225. ; -inv_misc_food_15
432 ; Artisan Cook ; Raise the skill of cooking to 300. ; -inv_misc_food_15
433 ; Skills to Pay the Bills ; Become a Artisan in fishing, first aid and cooking. ; -Inv_Misc_Note_02
434 ; Master in First Aid ; Raise the skill of first aid to 375. ; -spell_holy_sealofsacrifice
435 ; Master Fisherman ; Raise the skill of fishing to 375. ; -trade_fishing
436 ; Master Cook ; Raise the skill of cooking to 375. ; -inv_misc_food_15
437 ; Skills to Pay the Bills, also in Outland ; Become a Master in fishing, first aid and cooking. ; -Inv_Misc_Note_02
438 ; Genius in Every Craft ; Complete the profession achievements listed below. ; -Spell_Magic_GreaterBlessingOfKings
439 ; Outlandish Genius ; Complete the profession achievements listed below. ; -Spell_Magic_GreaterBlessingOfKings
440 ; Stocking Up ; Craft 100 Heavy Runecloth Bandages. ; -Inv_Misc_Bandage_12
441 ; Stocking Up ; Craft 500 Heavy Runecloth Bandages. ; -Inv_Misc_Bandage_12
442 ; Preparing for the Void ; Craft 100 Heavy Netherweave Bandages. ; -Inv_Misc_Bandage_Netherweave_Heavy
443 ; Preparing for the Void ; Craft 500 Heavy Netherweave Bandages. ; -Inv_Misc_Bandage_Netherweave_Heavy
444 ; I choose the best for Fishing ; Win the Booty Bay fishing contest and choose the Arcanite Fishing Pole or the Hook of the Master Angler as your reward. ; -inv_misc_fish_21
445 ; Real Fish Lover ; Fish up one of the rare fish during the Booty Bay fishing contest. ; -inv_misc_fish_10
446 ; Fish Collection ; Catch the following fishes in Azeroth. ; -inv_misc_fish_08
447 ; Water from Water ; Fish up an Essence of Water. ; -Spell_Nature_Acid_01
448 ; Captain’s Choice ; Fish up the following types of rum. ; -Inv_Drink_04
449 ; Gift of Mordor ; Fish up The 1 Ring. ; -Inv_Jewelry_Ring_03
450 ; Harbinger of a Sad End ; Fish up Old Teamster's Skull. ; -Inv_Misc_Bone_DwarfSkull_01
451 ; Great Snapper Catcher ; Fish Snappers of the following sizes. ; -inv_misc_fish_32
452 ; Thunderstorm of Perches ; Fish Groupers of the following sizes. ; -inv_misc_fish_06
453 ; Salmon Lover ; Fish Salmons of the following sizes. ; -inv_misc_fish_02
454 ; Lobster Hunter ; Fish Lobsters of the following sizes. ; -Inv_Misc_Fish_14
455 ; Azeroth's Greatest Angler ; Complete the following fishing achievements listed below. ; -Inv_FishingPole_01
456 ; Mr. Pinchy! ; Fish up Mr. Pinchy in Outland. ; -Inv_Misc_Fish_14
457 ; Lunch Lady ; Learn 5 cooking recipes. ; -inv_misc_food_66
458 ; Short Order Cook ; Learn 10 cooking recipes. ; -inv_misc_food_65
459 ; Chef de Partie ; Learn 25 cooking recipes. ; -inv_misc_food_60
460 ; Sous Chef ; Learn 50 cooking recipes. ; -inv_misc_food_13
461 ; Chef de Cuisine ; Learn 75 cooking recipes. ; -inv_misc_food_92_lobster
462 ; Soupmaster ; Cook Nightfin Soup 100 times. ; -Inv_Drink_17
463 ; Pastry Cook ; Cook Runn Tum Tuber Surprise 100 times. ; -Inv_Misc_Food_63
464 ; Catch of the Day ; Cook Grilled Squid 100 times. ; -Inv_Misc_Fish_13
465 ; Grandma's Dumplings ; Cook Smoked Desert Dumplings 100 times. ; -Inv_Misc_Food_64
466 ; Large Festive Feast ; Complete the cooking achievements listed below. ; -Inv_Misc_Food_49
467 ; The Cake Is Not A Lie ; Bake a Delicious Chocolate Cake. ; -inv_misc_celebrationcake_01
468 ; Somebody Likes Me ; Raise a reputation to Exalted. ; achievement_reputation_01
469 ; 5 Exalted Reputations ; Raise 5 reputations to Exalted. ; achievement_reputation_02
470 ; 10 Exalted Reputations ; Raise 10 reputations to Exalted. ; achievement_reputation_03
471 ; 15 Exalted Reputations ; Raise 15 reputations to Exalted. ; achievement_reputation_04
472 ; 20 Exalted Reputations ; Raise 20 reputations to Exalted. ; achievement_reputation_05
473 ; 25 Exalted Reputations ; Raise 25 reputations to Exalted. ; achievement_reputation_06
474 ; 30 Exalted Reputations ; Raise 30 reputations to Exalted. ; achievement_reputation_07
475 ; Ambassador of the Horde ; Earn exalted reputation with 4 home cities. ; achievement_pvp_o_h
476 ; Ambassador of the Alliance ; Earn exalted reputation with 4 home cities. ; achievement_pvp_o_a
477 ; Hydraxian Waterlords ; Earn exalted status with the Hydraxian Waterlords. ; -spell_frost_summonwaterelemental_2
478 ; Hero of the Zandalar Tribe ; Earn exalted status with the Zandalar Tribe. ; -inv_bijou_green
479 ; Brood of Nozdormu ; Earn exalted status with the Brood of Nozdormu. ; -Inv_Misc_Head_Dragon_Bronze
480 ; The Argent Dawn ; Earn exalted status with the Argent Dawn. ; -inv_jewelry_talisman_07
481 ; They Love Me In That Tunnel ; Earn exalted status with Timbermaw Hold. ; achievement_reputation_timbermaw
482 ; Darkmoon Faire ; Reach Exalted with the faction of Darkmoon Faire. ; -Inv_Misc_MissileLarge_Red
483 ; Thorium Brotherhood ; Earn exalted status with the Thorium Brotherhood. ; -inv_enchant_dustsoul
484 ; Agent of the Shen'dralar ; Earn exalted status with Shen'dralar. ; -inv_misc_book_11
485 ; The Burning Crusader ; Raise all of The Burning Crusade dungeon reputations to Exalted. ; -Spell_Fire_FelfireWard
486 ; The Burning Crusader ; Raise all of The Burning Crusade dungeon reputations to Exalted. ; -Spell_Fire_FelfireWard
487 ; Shattrath Divided ; Earn exalted status with The Scryers or The Aldor. ; -Spell_Arcane_PortalShattrath
488 ; Guardian of Cenarius ; Earn exalted status with the Cenarion Circle and Cenarion Expedition. ; -ability_racial_ultravision
489 ; A Quest a Day Keeps the Ogres at Bay ; Earn exalted status within Ogri'la. ; -Inv_Misc_Apexis_Crystal
490 ; The Czar of Sporeggar ; Earn exalted status with Sporeggar. ; -Inv_Mushroom_11
491 ; Chief Exalted Officer ; Earn exalted status with The Consortium. ; -Inv_Enchant_ShardPrismaticLarge
492 ; Mag'har of Draenor ; Earn exalted status with The Mag'har. ; -Inv_Misc_Foot_Centaur
493 ; Oh My, Kurenai ; Earn exalted status with the Kurenai. ; -Inv_Misc_Foot_Centaur
494 ; On Wings of Nether ; Earn exalted status with Netherwing. ; -Ability_Mount_NetherdrakePurple
495 ; Skyshattered ; Defeat Captain Skyshatter in the Dragonmaw race on Netherwing Ledge. ; -Ability_Mount_NetherdrakePurple
496 ; The Violet Eye ; Earn exalted status with The Violet Eye. ; -Spell_Holy_Mindsooth
497 ; The Scale of the Sands ; Earn exalted status with The Scale of the Sands. ; -Inv_Enchant_DustIllusion
498 ; Sworn to the Deathsworn ; Earn exalted status with the Ashtongue Deathsworn. ; achievement_reputation_ashtonguedeathsworn
499 ; You're So Offensive ; Earn exalted status with the Shattered Sun Offensive. ; -Inv_Shield_48
500 ; Sulfuras, Hand of Ragnaros ; Wielder of Sulfuras, Hand of Ragnaros. ; -Inv_Hammer_Unique_Sulfuras
501 ; Thunderfury, Blessed Blade of the Windseeker ; Wielder of Thunderfury, Blessed Blade of the Windseeker. ; -Inv_Sword_39
502 ; Scarab Lord ; Opened the gates of Ahn'Qiraj. ; -achievement_zone_silithus_01
503 ; Why? Because It's Red ; Obtain a Red Qiraji Resonating Crystal. ; -Inv_Misc_QirajiCrystal_02
504 ; Atiesh, Greatstaff of the Guardian ; Wielder of Atiesh, Greatstaff of the Guardian. ; -Inv_Staff_Medivh
505 ; Swift Zulian Tiger ; Obtain the Swift Zulian Tiger from High Priest Thekal in Zul'Gurub. ; -ability_mount_jungletiger
506 ; Swift Razzashi Raptor ; Obtain the Swift Razzashi Raptor from Bloodlord Mandokir in Zul'Gurub. ; -ability_mount_raptor
507 ; Deathcharger's Reins ; Obtain the Deathcharger's Reins from Rivendare in Stratholme. ; -ability_mount_undeadhorse
508 ; Winterspring Frostsaber ; Obtain a Winterspring Frostsaber. ; -ability_mount_pinktiger
509 ; Into the Breach ; Participant in the Battle for the Dark Portal. Wielder of the Tabard of the Protector. ; -inv_shirt_guildtabard_01
510 ; Warglaives of Azzinoth ; Wielder of a set of Warglaives of Azzinoth. ; -Inv_Weapon_Glave_01
511 ; Thori'dal, the Stars' Fury ; Wielder of Thori'dal, the Stars' Fury. ; -inv_weapon_bow_39
512 ; Amani War Bear ; Owner of Amani War Bear. ; -ability_druid_challangingroar
513 ; Swift White Hawkstrider ; Obtain the Swift White Hawkstrider from Kael'thas Sunstrider in Magister's Terrace. ; -ability_mount_cockatricemountelite_green
514 ; Ashes of Al'ar ; Obtain the Ashes of Al'ar from Kael'thas Sunstrider in Tempest Keep. ; -inv_misc_summerfest_brazierorange
515 ; Conqueror of the Outland ; Defeat Archimonde and Illidan Stormrage in their respective raids within the first week of the release of Phase Three. ; -Inv_Helmet_96
516 ; 25 Fish ; Fish up 25 items. ; inv_misc_fish_50
517 ; 50 Fish ; Fish up 50 items. ; inv_misc_fish_50
518 ; 100 Fish ; Fish up 100 items. ; inv_misc_fish_50
519 ; 250 Fish ; Fish up 250 items. ; inv_misc_fish_50
520 ; 500 Fish ; Fish up 500 items. ; inv_misc_fish_50
521 ; 1000 Fish ; Fish up 1000 items. ; inv_misc_fish_50
522 ; Swift Flight Form ; Completed the druid quest to obtain Swift Flight Form. ; -ability_druid_flightform
523 ; Avast Ye, Admiral! ; Obtain the Bloodsail Admiral's Hat... and try to get some fresh air every now and then. ; -inv_helmet_66
524 ; Dreadsteed of Xoroth ; Completed the Dreadsteed of Xoroth warlock quest. ; -ability_mount_dreadsteed
525 ; Charger ; Completed the paladin quest to obtain a Charger. ; -ability_mount_charger
526 ; Hills Like White Elekk ; Complete all of Hemet Nesingwary quests in Nagrand up to and including The Ultimate Bloodsport. ; -ability_mount_ridingelekk
527 ; The Horseman's Reins ; Obtain The Horseman's Reins from The Headless Horseman in the Scarlet Monastery during Hallow's End. ; -inv_belt_12
528 ; Hero of Shattrath ; Gained exalted status with The Scryers and The Aldor. ; -spell_arcane_teleportshattrath
529 ; Champion of the Naaru ; Earned the title, "Champion of the Naaru". ; -inv_mace_51
530 ; Hand of  A'dal ; Earned the title, "Hand of A'dal". ; -inv_mace_25
531 ; Hallowed Be Thy Name ; Complete the Hallow's End achievements listed below. ; achievement_halloween_witch_01
532 ; Rotten Hallow ; Ruin Hallow's End for the Horde by completing Sergeant Hartman's quests which involve crashing the wickerman festival and cleaning up the stinkbombs from Southshore. ; achievement_halloween_rottenegg_01
533 ; Hallow's End Treats for Jesper! ; Collect the the requested treats for Jesper. ; -inv_misc_food_26
534 ; Trick or Treat! ; Receive a Treat Bag from an innkeeper. ; -inv_misc_food_30
535 ; Pumpkinmania ; Obtain a Pumpkin Bag during Hallow's End. ; -inv_misc_food_59
536 ; Invocation of the Wickerman ; Receive the buff "Invocation of the Wickerman" during Hallow's End. ; -inv_waepon_bow_zulgrub_d_02
537 ; The Mask Task ; Obtain a Flimsy Mask during Hallow's End. ; -inv_mask_06
538 ; A Mask for All Occasions ; Collect the 16 unique Flimsy Masks listed below. ; -inv_mask_04
539 ; The Masquerade ; Get transformed by the Hallowed Wands listed below. ; achievement_halloween_ghost_01
540 ; Defeat Sapphiron. ; Defeat Sapphiron in Naxxramas. ; -inv_misc_head_dragon_blue
541 ; Merrymaker ; Complete the Winter Veil achievements listed below. ; achievement_worldevent_merrymaker
542 ; On Metzen! ; Save Metzen the Reindeer. ; achievement_worldevent_reindeer
543 ; Simply Abominable ; Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You. ; -inv_helmet_68
544 ; The Winter Veil Gourmet ; During the Feast of Winter Veil, use your culinary expertise to produce a Gingerbread Cookie and Egg Nog. ; -inv_misc_food_62
545 ; He Knows If You've Been Naughty ; Open one of the presents underneath the Winter Veil tree once they are available. ; -inv_holiday_christmas_present_01
546 ; Scrooge ; Throw a snowball at King Magni Bronzebeard during the Feast of Winter Veil. ; -inv_ammo_snowball
547 ; Outlandish Fish Collection ; Catch the following species in Outland. ; -Inv_Misc_Fish_37
